title,filename,title.1,author,release year,genre,pos score,neg score,neu score,comp score,amt pos,amt neg
The Longest Journey,2604.txt,The Longest Journey,E. M. Forster,"April, 2001",Bildungsroman,0.0669292568039079,0.056150209351011886,0.652914689462664,0.021844905792044744,2607,1997
Down and Out in the Magic Kingdom,8086-8.txt,Down and Out in the Magic Kingdom,Cory Doctorow,"May, 2005",Science fiction,0.05936077957395371,0.04452591025834713,0.6527218613083544,0.02616136878682581,1322,893
Meccania,44074.txt,Meccania,Owen Gregory,"October 30, 2013 ",Utopian and dystopian fiction,0.06957076942262136,0.0346353660057364,0.7390396558174329,0.06276184062850734,2146,990
Leinster,43096.txt,Leinster,Stephen Lucius Gwynn,"July 5, 2013 ",Science fiction,0.07608121019108277,0.03316507430997879,0.7474389596602978,0.08047468152866241,509,237
Off on a Comet,1353-8.txt,Off on a Comet,Jules Verne,"June, 1998",Science fiction,0.05877952820177947,0.04097085952167165,0.6988771528854746,0.032333434005387324,2575,1785
The Ivory Trail,5194.txt,The Ivory Trail,Talbot Mundy,"February, 2004",Horror fiction,0.055556284734539226,0.054840782783492685,0.6834426510582917,-0.00017972094123213633,3347,3419
Sketches by Boz,882.txt,Sketches by Boz,Charles Dickens,"December 6, 2009  ",Sketch story,0.07844503932356049,0.048444411623527306,0.7240153601890446,0.057091895284864386,7439,4611
Hunger,8387-8.txt,Hunger,Knut Hamsun,"June, 2005",Dystopian novel,0.06302171274443699,0.05857491571139582,0.6891946055293318,0.010761847606203571,1580,1577
Kilmeny of the Orchard,5341.txt,Kilmeny of the Orchard,Lucy Maud Montgomery,"March, 2004 ",Romance novel,0.07776926351638994,0.052052788420604464,0.6732865048957012,0.048487952320136286,1384,925
Narcissus,42533-8.txt,Narcissus,Evelyn Scott,"April 14, 2013 ",Horror fiction,0.07527430093209063,0.07813065912117174,0.6633387150466039,-0.0021130825565912163,1716,1674
The Martian,40992.txt,The Martian,Allen Glasser,"October 9, 2012 ",Horror fiction,0.05242099322799098,0.04561794582392775,0.6480112866817159,0.014134706546275409,293,251
Further Chronicles of Avonlea,5340-8.txt,Further Chronicles of Avonlea,Lucy Maud Montgomery,"March, 2004",Short stories,0.07288382268278643,0.05945354058721944,0.6825172135866422,0.02724285549798513,2139,1558
A Treatise of Human Nature,4705.txt,A Treatise of Human Nature,David Hume,"December, 2003 ",Philosophy,0.10082401345699196,0.04659979087106731,0.761288097835961,0.09851276141116473,7614,3480
Heretics,470.txt,Heretics,Gilbert K. Chesterton,"March, 1996",Science fiction,0.11231046340265273,0.06585672179466166,0.7540396266579336,0.08878385459308966,2762,1544
The Golden Road,316.txt,The Golden Road,Lucy Maud Montgomery,"July 5, 2008 ",Children's novel,0.06601324786324796,0.04752478632478624,0.6422321581196586,0.03704618589743591,2217,1581
The Red House Mystery,1872.txt,The Red House Mystery,A. A. Milne,"August, 1999",Mystery novel,0.053486635944700614,0.035009216589861725,0.6212965437788011,0.029238859447004738,1422,942
The Broken Sword,41857-8.txt,The Broken Sword,Dennison Worthington,"January 16, 2013 ",Fantasy novel,0.06403987408184668,0.05806944576934087,0.7027479729085171,0.01132559381856332,2369,2178
The White People,459.txt,The White People,Frances Hodgson Burnett,"March 14, 2006 ",Horror fiction,0.07243646195442256,0.040529161838547705,0.6861792197759762,0.06380308999613757,682,406
The Castle of Otranto,696-0.txt,The Castle of Otranto,Horace Walpole,"May 5, 2012  ",Horror novel,0.07153020579774283,0.06467205133879159,0.6677399867227268,0.01492363354724494,1140,1142
Bride of Lammermoor,471.txt,Bride of Lammermoor,Sir Walter Scott,"January 16, 2006 ",Historical novel,0.08109776207302695,0.05524757067137796,0.7167184923439324,0.04832360129564193,4084,2732
A Christmas Carol,41739-8.txt,A Christmas Carol,C. Z. Barnett,"December 30, 2012 ",Novella,0.07485223725286147,0.04943444328824141,0.6041212278876178,0.04979375650364208,381,238
The Knights of the Cross,9473-8.txt,The Knights of the Cross,Henryk Sienkiewicz,"December, 2005",Historical novel,0.060913782816228924,0.049560747315035486,0.6462015960620505,0.019548318168257767,5856,4754
Madame Bovary,2413.txt,Madame Bovary,Gustave Flaubert,"February 25, 2006 ",Literary realism,0.0570912306026705,0.04705860700108259,0.6796839408155864,0.02341732226632991,2714,2251
Further Chronicles of Avonlea,5340.txt,Further Chronicles of Avonlea,Lucy Maud Montgomery,"March, 2004",Short stories,0.07288382268278643,0.05945354058721944,0.6825172135866422,0.02724285549798513,2139,1558
The Heart of Princess Osra,41438-8.txt,The Heart of Princess Osra,Anthony Hope,"November 22, 2012 ",Historical novel,0.07767462887989213,0.0522245614035087,0.6448639676113362,0.05157417004048585,1922,1443
Lilith,1640.txt,Lilith,George MacDonald,"February, 1999",Science fiction,0.05446511627906984,0.05329020382508748,0.6574424890006277,0.0061096525096525104,2105,1962
In the Valley,9787.txt,In the Valley,Harold Frederic,"January, 2006",Philosophical fiction,0.07231967988985465,0.05985242233886925,0.6874665691420682,0.024769167885724315,3199,2645
Turner,41694.txt,Turner,C. Lewis Hind,"December 23, 2012 ",Young adult novel,0.059043902439024375,0.029031097560975636,0.7210689024390251,0.05184749999999999,311,145
The Collector,43929.txt,The Collector,Henry T. Tuckerman,"October 11, 2013 ",Crime novel,0.11165481868082408,0.04433330333843242,0.7789552776028049,0.12404237379645415,4475,1798
The Pirate,42389.txt,The Pirate,Sir Walter Scott,"March 23, 2013  ",Comedy,0.07378503389304826,0.048988082052190664,0.7019590625138438,0.04601692437198133,5994,3919
Wives and Daughters,4274.txt,Wives and Daughters,Elizabeth Cleghorn Gaskell,"December 26, 2001  ",Novel,0.07788405896234446,0.0487922979582061,0.706389069393618,0.06030134409521538,8596,4807
Queen of the Black Coast,42183-8.txt,Queen of the Black Coast,Robert E. Howard,"February 24, 2013 ",Fantasy fiction,0.05168639414276999,0.060576571079926735,0.6949359365466754,-0.013377059182428336,297,350
A Tramp Abroad,5788-8.txt,A Tramp Abroad,Mark Twain (Samuel Clemens),March 1994 ,Travel literature,0.06695986913849508,0.04953784078516895,0.7192678298800429,0.032263402399127575,1090,748
St. Ives,322-0.txt,St. Ives,Robert Louis Stevenson,"October 30, 2010  ",Novel,0.07234780617385729,0.054412933956214965,0.6913224329028109,0.03540087020243661,2853,2079
Bound to Rise,5977.txt,Bound to Rise,Horatio Alger,"June, 2004  ",Business,0.05452745172283245,0.027284740628549808,0.5599910387479484,0.04636863561782149,1421,788
A Tramp Abroad,5787.txt,A Tramp Abroad,Mark Twain (Samuel Clemens),March 1994 ,Travel literature,0.06550316011235946,0.04706952247191015,0.7122183988764051,0.03442366573033705,684,472
The Three Musketeers,1257-8.txt,The Three Musketeers,"Alexandre Dumas, Pere","March 01, 1998 ",Historical novel,0.0616530828176599,0.04777434351854806,0.615412517233638,0.02768624515053389,6194,5172
Camilla,40619-8.txt,Camilla,Fanny Burney,"August 29, 2012 ",Young adult novels,0.08691052566785652,0.06791581927859079,0.6534474701465011,0.03892046042102628,12001,9295
The Decoration of Houses,40367.txt,The Decoration of Houses,Edith Wharton,"July 29, 2012 ",Interior design,0.057100050150451415,0.024936559679037133,0.754596664994984,0.05756295135406213,1737,780
Villette,9182-8.txt,Villette,Charlotte Bront�,"October, 2005",Novel,0.08272709273413721,0.05162165024403695,0.6846955981213716,0.0597628280688827,5945,3646
Glinda of Oz,39868.txt,Glinda of Oz,L. Frank Baum,"May 31, 2012 ",Children's literature,0.06988219747026626,0.04210836322446666,0.6478725693788943,0.050443099867849735,1272,834
The River War,4943-8.txt,The River War,Winston S. Churchill,"January, 2004  ",Military history,0.06918035272524127,0.07441417285132859,0.7722134705929244,-0.011558183704412993,3327,3238
Shifting Sands,43773-8.txt,Shifting Sands,Sara Ware Bassett,"September 20, 2013 ",Fantasy literature,0.05999380771319944,0.04130765888104289,0.5812630092341103,0.0336552091254753,1749,1278
Memoirs of Sherlock Holmes,834-8.txt,Memoirs of Sherlock Holmes,Sir Arthur Conan Doyle,"March, 1997",Detective fiction,0.054793484640970384,0.04288896497749947,0.685040011739385,0.021379162590491142,2119,1718
The Purple Land,7132-8.txt,The Purple Land,W. H. Hudson,"December, 2004 ",Adventure novel,0.08038459981786919,0.05979864413639576,0.7088529798644123,0.04025930385510477,2964,2204
The Man Who Knew Too Much,1720.txt,The Man Who Knew Too Much,G.K. Chesterton,"June 12, 2004 ",Detective stories,0.06264719626168225,0.05255578271028044,0.7202203563084112,0.015777803738317688,1623,1268
Franklin,40704-8.txt,Franklin,John Bigelow,"September 7, 2012 ",Temperance movement,0.07344530154277698,0.03653716690042078,0.7708022440392719,0.0687902524544178,383,189
A Peep Behind the Scenes,7437.txt,A Peep Behind the Scenes,Mrs. O. F. Walton,"February, 2005",Drama,0.06702962492053399,0.04163051493960577,0.6456962492053417,0.04947912269548647,1744,1196
Confession,6059.txt,Confession,W. Gilmore Simms,"July, 2004  ",Mystery novel,0.08741594489531435,0.07175673463820492,0.6854034645024835,0.029178353679329,4536,3696
Young Blood,42902-8.txt,Young Blood,E. W. Hornung,"June 9, 2013 ",Historical novel,0.06134667995289435,0.043271944922547316,0.6525152640637722,0.03623767551408636,2484,1762
The Story of the Glittering Plain,2565.txt,The Story of the Glittering Plain,William Morris,"October 16, 2007  ",Fantasy novel,0.0620892289348172,0.03736983306836248,0.7171156597774238,0.05214137519872819,1163,805
Tintoretto,42528-8.txt,Tintoretto,Samuel Levy Bensusan,"April 14, 2013 ",Detective fiction,0.08363233082706772,0.03296766917293235,0.7187338345864676,0.09835022556390964,411,161
Secret Service,44659.txt,Secret Service,Cyrus Townsend Brady,"January 14, 2014  ",Political journalism,0.05188029445073606,0.04469263873159672,0.6090891279728193,0.015617768969422397,1519,1206
Confessions of a Thug,44881.txt,Confessions of a Thug,Philip Meadows Taylor,"February 12, 2014 ",Novel,0.07214128392256243,0.057743827295371565,0.7055392212559489,0.026479172311322827,6237,5098
Anarchy,40365.txt,Anarchy,Errico Malatesta,"July 28, 2012 ",Political philosophy,0.0980677570093457,0.04761448598130838,0.7304892523364492,0.08227518691588788,724,331
Maiwa's Revenge,2713-8.txt,Maiwa's Revenge,H. Rider Haggard,"March 31, 2006 ",Adventure novel,0.05949136276391542,0.0618250616945434,0.7317162051000817,-0.006473814093775702,855,789
The Metal Monster,3479.txt,The Metal Monster,A. Merritt,"September, 2002  ",Fantasy,0.050251274581209024,0.04624945375091037,0.6531342862345209,0.009445183903860071,1799,1563
A Tramp Abroad,5785.txt,A Tramp Abroad,Mark Twain (Samuel Clemens),March 1994 ,Travel literature,0.06212717494463766,0.03531603922809237,0.6763628598544765,0.05056327111673524,690,428
Allan Quatermain,711.txt,Allan Quatermain,H. Rider Haggard,"November 18, 2004 ",Adventure novel,0.07711892510005698,0.057891271202591923,0.7263387650085776,0.04090527920716599,3069,2251
Grace Abounding to the Chief of Sinners,654-0.txt,Grace Abounding to the Chief of Sinners,John Bunyan,"February 19, 2013  ",Spiritual autobiography,0.0904378698224854,0.06091228680821437,0.7097683605986771,0.05063729550992002,1685,1294
Love-Letters Between a Nobleman and His Sister,8409-8.txt,Love-Letters Between a Nobleman and His Sister,Aphra Behn,"July, 2005",Epistolary novel,0.13985451080050865,0.08326200762388775,0.7255491105463697,0.11597770648030452,7785,5156
Juggernaut,39922.txt,Juggernaut,George Cary Eggleston,"June 5, 2012 ",Thriller (genre),0.07638005911778094,0.044256025466120806,0.6282291950886759,0.05884868121873588,2393,1354
North and South,4276.txt,North and South,Elizabeth Cleghorn Gaskell,"June 12, 2012 ",Novel,0.07436184109025433,0.05806330676266368,0.6895363846747211,0.03441481614810993,5451,4061
The Art of Cookery,41352-8.txt,The Art of Cookery,John Mollard,"November 12, 2012 ",Cookbook,0.03316070571291403,0.014560009601536238,0.6434696351416247,0.034871279404704636,1045,481
"Psmith, Journalist",2607.txt,"Psmith, Journalist",P. G. Wodehouse,"April, 2001",Comic novel,0.05923262428889454,0.03405911451892157,0.6572645312886478,0.04293174622804855,1560,922
Dreams,856.txt,Dreams,Jerome K. Jerome,March 1997,Fantasy novel,0.07077961432506888,0.05351882460973376,0.6938842975206615,0.03475500459136823,272,189
The Moon Pool,765-8.txt,The Moon Pool,A. Merritt,"December, 1996",Fantasy novel,0.058288556409219414,0.04410230489284269,0.679574848362311,0.025471661949049703,2257,1638
Growing Up,42408-8.txt,Growing Up,Jennie M. Drinkwater,"March 24, 2013 ",Autobiography,0.06869820717131457,0.03212404925751531,0.6273569358927917,0.06501547446577335,2488,1099
Around the World in 80 Days,103.txt,Around the World in 80 Days,Jules Verne,"May 15, 2008 ",Travel literature,0.059579517069109175,0.0427837516355418,0.664022957059592,0.029279148328773756,1667,1220
The Republic,1497.txt,The Republic,Plato,"October, 1998",Fantasy,0.1125478475681367,0.04767820839914125,0.6435239946543518,0.08779586522496154,8090,4007
The Great Impersonation,5815.txt,The Great Impersonation,E. Phillips Oppenheim,"June, 2004",Mystery fiction,0.06409336511720312,0.04109892729439805,0.6371599125943568,0.042889511323003664,2246,1453
Harrigan,9791.txt,Harrigan,Max Brand,"January, 2006",Fantasy fiction,0.04865928906773975,0.04992700648334451,0.6276617482673817,-0.0009322155153141254,1536,1536
Twelve Years a Slave,45631.txt,Twelve Years a Slave,Solomon Northup,"May 11, 2014 ",Slave narrative,0.06652747856671805,0.049035392393932654,0.74297746757529,0.029854660364915374,1954,1407
The Wood Beyond the World,3055.txt,The Wood Beyond the World,William Morris,"May 1, 2007  ",Fantasy novel,0.06849941702293035,0.04225320637388258,0.7075538282160918,0.05622926544889215,1371,886
The Story Girl,5342.txt,The Story Girl,Lucy Maud Montgomery,"March, 2004 ",Children's novel,0.06772889828879074,0.048706018073447294,0.6576484329936539,0.03835318208036926,2652,1656
Swallow,4074.txt,Swallow,H. Rider Haggard,"April 13, 2006 ",Horror novel,0.058941515206046485,0.056107252114450265,0.700681392837861,0.004045519165017024,2500,2398
Rebecca of Sunnybrook Farm,498.txt,Rebecca of Sunnybrook Farm,Kate Douglas Wiggin,"April, 1996",Children's literature,0.08034732100521562,0.04137541488857272,0.6998737553342819,0.07394785443338059,2406,1222
Anna Karenina,1399-0.txt,Anna Karenina,Leo Tolstoy,"July 01, 1998 ",Literary realism,0.07047792310937899,0.04688277779156607,0.6711777816385829,0.04283869350475278,9853,6788
Italian Hours,6354-8.txt,Italian Hours,Henry James,"August, 2004  ",Travel writing,0.11302757731958772,0.041819158075601326,0.7869925257731938,0.13662501718213066,4962,1999
Mexico,40032-8.txt,Mexico,Susan Hale,"June 18, 2012  ",Non-Fiction,0.07427612317011606,0.046857900050479566,0.7039549049301703,0.04946458859162039,3254,1881
The Blind Spot,4920.txt,The Blind Spot,Austin Hall,"January, 2004  ",Science fiction,0.059937595795927175,0.03775717100941536,0.6456096635282074,0.04224051529085464,2594,1467
The Englishman,6025-0.txt,The Englishman,Ella Wheeler Wilcox,"July 20, 2014  ",Gaucho literature,0.08570813219457843,0.04666245822502785,0.6151210545859632,0.055572966951355315,480,274
Rosy,6676.txt,Rosy,Mrs. Molesworth,"March 16, 2014 ",Autobiographical novel,0.07691504991523837,0.054780561310981433,0.6411439065737427,0.04899911471086865,1589,837
A Love Story,8883.txt,A Love Story,A Bushman,"September, 2005",Humor,0.08185561597599851,0.046272923307706784,0.6501407275454714,0.065193896493531,2802,1563
Tom Swift in the Land of Wonders,499.txt,Tom Swift in the Land of Wonders,Victor Appleton,"March 11, 2002",Young adult novel,0.057076785423783936,0.036590531966813014,0.6320501057426388,0.0370526598340657,1195,756
Rainbow Valley,5343.txt,Rainbow Valley,Lucy Maud Montgomery,"March, 2004 ",Children's Literature,0.07537824675324692,0.06315010822510819,0.6613641774891775,0.0271567424242426,2257,2059
The Quest,43527.txt,The Quest,Justus Miles Forman,"August 21, 2013 ",Fantasy,0.06923743324574029,0.056295837924896175,0.673231075697209,0.02577935068237692,2884,2454
The Cloud,41867.txt,The Cloud,Sartell Prentice,"January 18, 2013 ",Christian mysticism,0.06373374613003098,0.05439551083591334,0.7255216718266259,0.013873374613003095,296,225
The Fugitive,7971.txt,The Fugitive,Rabindranath Tagore,"April, 2005",Legal thriller,0.049856736916883714,0.04205446365143264,0.4711963059436419,0.0185471228984134,677,675
The Old English Baron,5182.txt,The Old English Baron,Clara Reeve,"February, 2004  ",Horror fiction,0.0871869088725419,0.043138417655006714,0.6524394235099854,0.08000863233748666,2041,1068
The People of the Black Circle,42259-8.txt,The People of the Black Circle,Robert E. Howard,"March 4, 2013 ",Sword and sorcery,0.04645473628968772,0.0672432432432432,0.6847803726056161,-0.033097848333770594,676,893
The Deluge,7832-8.txt,The Deluge,David Graham Phillips,"April, 2005  ",Historical novel,0.0710631447025933,0.059069314566663325,0.6649128506700069,0.02678294611009364,2892,2272
The Expedition of Humphry Clinker,2160.txt,The Expedition of Humphry Clinker,Tobias Smollett,"April, 2000 ",Novel,0.09678175363862217,0.055473340433084786,0.7607729499467494,0.07265422790202364,4960,2882
Life and Death of Harriett Frean,9298-8.txt,Life and Death of Harriett Frean,May Sinclair,"November, 2005 ",Fiction,0.05606860395446368,0.046672857998801685,0.6042687237866996,0.018543409227082024,637,451
The Story of an African Farm,1441.txt,The Story of an African Farm,(AKA Ralph Iron) Olive Schreiner,"August, 1998",Bildungsroman,0.06127774460462348,0.043752196536722576,0.6741234325684532,0.03608636014672014,2460,1669
The Wolf Cub,41126.txt,The Wolf Cub,Patrick Casey,"October 21, 2012 ",Children's literature,0.05730773047533998,0.058900863352188186,0.6548550163739185,-0.0006336905825146719,1968,1990
Caesar's Column,5155.txt,Caesar's Column,Ignatius Donnelly,"February, 2004",Apocalyptic fiction,0.08091188672438693,0.06344489538239532,0.6970946969696925,0.032262815656565726,3029,2320
Villette,9182.txt,Villette,Charlotte Bronte,"October, 2005",Novel,0.08275909383921135,0.05164071277281492,0.6846445344875194,0.05978511833502139,5947,3647
A Tramp Abroad,5784.txt,A Tramp Abroad,Mark Twain (Samuel Clemens),March 1994 ,Travel literature,0.06564044089699726,0.04339300646142151,0.6792592170277466,0.04235226149752934,590,397
Tara,45430-8.txt,Tara,Philip Meadows Taylor,"April 18, 2014 ",Prose poetry,0.07200074701195222,0.0549912137165619,0.6962516718838928,0.031094824274330857,6587,5509
The Water of the Wondrous Isles,8778-0.txt,The Water of the Wondrous Isles,William Morris,"July 22, 2014  ",Fantasy novel,0.0774389087460793,0.04547975782332764,0.7381241520169219,0.06678634473703425,4013,2656
Paris,9169.txt,Paris,Emile Zola,"October, 2005",Memoir,0.0906610984435412,0.0700342520075339,0.7156787944879477,0.037314365024288934,6975,5311
Beauty and the Beast,43484.txt,Beauty and the Beast,Stewart A. McDowall,"August 16, 2013 ",Fantasy,0.10734016806722699,0.035904873949579835,0.7317132773109242,0.1352700168067224,939,393
Sartor Resartus,1051.txt,Sartor Resartus,Thomas Carlyle,"September, 1997",Comic novel,0.07977082330284045,0.05460712566201256,0.7742658883004336,0.04737870727010104,1966,1357
Havoc,2287-8.txt,Havoc,E. Philips Oppenheim,"August, 2000",Historical novels,0.0582187795851623,0.04355435063258451,0.6457084947069424,0.025722127549703138,2089,1506
The Odyssey,1727.txt,The Odyssey,Homer,"April, 1999 ",Historical novel,0.06675438011012845,0.053063073585850086,0.7592088269647919,0.026185483063574308,3469,2697
Sketches by Boz,882-0.txt,Sketches by Boz,Charles Dickens,"December 6, 2009  ",Sketch story,0.07724756868690562,0.04796520356469295,0.7254711755352538,0.05591088266834245,7427,4617
Typee,1900.txt,Typee,Herman Melville,September 1999,Travel literature,0.07549490588844739,0.049864185805560235,0.7569592471075773,0.043050673458815435,3388,2241
Home Again,8924.txt,Home Again,George MacDonald,"September, 2005 ",Biography in literature,0.07971295371295371,0.04936396936396927,0.6564723609723596,0.05702462537462544,1770,1019
Local Color,41297.txt,Local Color,Irvin S. Cobb,"November 5, 2012 ",Travel literature,0.05806718522950685,0.04274878194717492,0.7325043166082551,0.02659118728096425,2410,1838
The Eustace Diamonds,7381.txt,The Eustace Diamonds,Anthony Trollope,"April 22, 2003  ",Family saga,0.07356644581001713,0.04758560197741047,0.7108370695870104,0.04817805623261966,7725,4647
The Four Million,2776.txt,The Four Million,O. Henry,"August, 2001  ",Frame story,0.06583018273471967,0.036592312539382485,0.6825511972274725,0.0555234404536861,1392,796
In the Year of Jubilee,4307.txt,In the Year of Jubilee,George Gissing,"August, 2003  ",Novel,0.06949677037037028,0.050110281481481306,0.6279473777777766,0.03745517629629614,3980,2790
Imogen,43133.txt,Imogen,Mrs Molesworth,"July 8, 2013 ",Biographical novel,0.08176085162568086,0.05249777190955609,0.6521762667106779,0.059460538042581335,1709,971
Twenty Years After,1259-0.txt,Twenty Years After,"Alexandre Dumas, Pere","May 11, 2003 ",Romanticism,0.05554804779054447,0.039830217801406116,0.6031587492139714,0.027662622191734,6467,4868
The Three Musketeers,1257.txt,The Three Musketeers,"Alexandre Dumas, Pere","March 01, 1998 ",Historical novel,0.0616530828176599,0.04777434351854806,0.615412517233638,0.02768624515053389,6194,5172
Gallantry,8715-8.txt,Gallantry,James Branch Cabell,"August, 2005",Wuxia,0.07672941505216099,0.05003036512667658,0.6465264530551421,0.05414717771982125,2671,1818
The Old Curiosity Shop,700.txt,The Old Curiosity Shop,Charles Dickens,"March 7, 2008 ",Novel,0.07803535962105773,0.05526613204803224,0.6834210745003476,0.04704491212033062,6524,4879
Great Expectations,1400-8.txt,Great Expectations,Charles Dickens,"July, 1998",Novel,0.060121535598863934,0.04798462442463999,0.6881445499950997,0.027363916364704817,4454,3475
The Four Million,2776-8.txt,The Four Million,O. Henry,"August, 2001  ",Frame story,0.06583018273471967,0.036592312539382485,0.6825511972274725,0.0555234404536861,1392,796
The Hunting of the Snark,13.txt,The Hunting of the Snark,Lewis Carroll,"March 8, 1992",Nonsense poetry,0.06598540145985403,0.04412733171127335,0.6579359286293598,0.033687104622870986,200,125
The Prime Minister,2158.txt,The Prime Minister,Anthony Trollope,"August 15, 1999  ",Novel,0.06957114183042472,0.04465809835216395,0.7047041017838047,0.04553650166725996,8160,4941
Narcissus,41726-8.txt,Narcissus,Unknown,"January 5, 2013 ",Horror fiction,0.05151754945756217,0.0250851946394384,0.6942973835354174,0.041227249521378385,458,214
Excursions,9846-8.txt,Excursions,Henry D. Thoreau,"February, 2006",Fantasy fiction,0.07601306462821429,0.03215733148019462,0.7802233495482964,0.08424554551772062,2092,948
When the World Shook,1368-8.txt,When the World Shook,H. Rider Haggard,"June, 1998",Lost World (genre),0.06778163696768348,0.049049154334038066,0.6864009362730292,0.03455372999093935,3301,2330
Master Humphrey's Clock,588-0.txt,Master Humphrey's Clock,Charles Dickens,"March 20, 2013  ",Fiction,0.08172913919758908,0.04995837257487283,0.7036826144283295,0.062162045582972225,1587,1039
Ragna,41863.txt,Ragna,Anna Miller Costantini,"January 18, 2013  ",Political thriller,0.07619623136921751,0.05471163796432155,0.6517775117769677,0.040667148042319766,3548,2628
Undine,2825.txt,Undine,Friedrich de la Motte Fouque,"September, 2001",Novella,0.09055860088749684,0.0614019838162359,0.6830676063690945,0.05379532759070749,1201,862
The Deerslayer,3285.txt,The Deerslayer,James Fenimore Cooper,"June, 2002",Adventure novel,0.08195354888449835,0.061122777429768765,0.7350133956536348,0.03913447694309218,6420,4777
Jungle Tales of Tarzan,106.txt,Jungle Tales of Tarzan,Edgar Rice Burroughs,"June 5, 2008 ",Adventure novel,0.06258021289918593,0.0742206637445208,0.7115416405760795,-0.018570457107075763,1809,2217
Aunt Jane,43380-8.txt,Aunt Jane,Jennette Lee,"August 2, 2013 ",Young-adult fiction,0.0626803595954552,0.026110500686727454,0.5950648020976388,0.06569401922836796,1640,664
Pollyanna Grows Up,6100.txt,Pollyanna Grows Up,Eleanor H. Porter,"July, 2004",Romance novel,0.07419405128205124,0.046082974358974335,0.6352118974358961,0.054238861538461504,2297,1287
The Railway Children,1874.txt,The Railway Children,E. Nesbit,"August, 1999",Children's literature,0.05433796856106416,0.03475441354292616,0.6329162031438944,0.038492515114873095,1511,900
Westward Ho!,1860.txt,Westward Ho!,Charles Kingsley,"May 13, 2006 ",Adventure fiction,0.07539161823629223,0.054686748727574334,0.6803033967440314,0.039391444969858615,7445,5567
Rio Grande's Last Race and Other Verses,304.txt,Rio Grande's Last Race and Other Verses,Andrew Barton 'Banjo' Paterson,"August, 1995",Bush poetry,0.0644032373244466,0.053363960961675734,0.6549062128064745,0.0151559866698405,713,548
Star,39899-8.txt,Star,Forrestine C. Hooker,"June 2, 2012  ",Science fiction,0.06116091175806813,0.04332408034303771,0.6924026179192058,0.03641412773640251,911,798
