filename,title,author,release year,pos score,neg score,neu score,comp score
2767.txt,The Devil's Paw,E. Phillips Oppenheim,"August, 2001"
2807-8.txt,To Have and To Hold,Mary Johnston,"September, 2001"
2818.txt,Beautiful Joe,Marshall Saunders,"September, 2001"
2834.txt,The Portrait of a Lady,Henry James,"September, 2001"
2835.txt,The Canadian Dominion,Oscar D. Skelton,"September, 2001"
2860-8.txt,Framley Parsonage,Anthony Trollope,"October, 2001  "
288.txt,The Certain Hour,James Branch Cabell,"April 29, 2008 "
29.txt,"Census of Population and Housing, 1990",United States Bureau of the Census,"August, 1992"
2942.txt,Two Penniless Princesses,Charlotte M. Yonge,"December, 2001"
2945.txt,"Essays, Second Series",Ralph Waldo Emerson,"December, 2001"
2951.txt,Venetian Years: Childhood And Adolescence,Jacques Casanova de Seingalt,"October 30, 2006 "
2956.txt,To Paris And Prison: Paris,Jacques Casanova de Seingalt,"October 30, 2006 "
2981.txt,"The Memoires of Casanova, Complete",Jacques Casanova de Seingalt,"November 2, 2006 "
2983.txt,"Mark Twain, A Biography, Vol. 1, Part 2, 1866-1875",Albert Bigelow Paine,"August 21, 2006 "
2994-8.txt,A Spirit in Prison,Robert Hichens,"December, 2001"
2994.txt,A Spirit in Prison,Robert Hichens,"December, 2001"
2995.txt,Tacitus on Germany,Tacitus,"April 3, 2006 "
302.txt,The Fibonacci Number Series,Michael Husted,"July, 1995"
3045.txt,The Last Chronicle of Barset,Anthony Trollope,"January, 2002  "
3052.txt,Essays and Miscellanies,Plutarch,"February, 2002  "
3056.txt,Wessex Tales,Thomas Hardy,"November 2, 2004  "
3069.txt,The Great Boer War,Arthur Conan Doyle,"Feb, 2002"
3093.txt,The Eve of the Revolution,Carl Becker,"February, 2002"
3094.txt,Red Eve,H. Rider Haggard,"April 5, 2006 "
3108.txt,Nine Short Essays,Charles Dudley Warner,"December 5, 2004 "
3123.txt,The Novel and the Common School,Charles Dudley Warner,"December 6, 2004 "
3136.txt,The Entire Project Gutenberg Works of Charles Dudley Warner,Charles Dudley Warner,"October 11, 2004 "
3137.txt,The Rise of Roscoe Paine,Joseph C. Lincoln,"June 3, 2006 "
315.txt,Rhymes of a Red Cross Man,Robert W. Service,"August, 1995"
316.txt,The Golden Road,Lucy Maud Montgomery,"July 5, 2008 "
3166-8.txt,Doctor Thorne,Anthony Trollope,"April, 2002  "
3220-8.txt,Mr Honey's Large Business Dictionary (German-English),Winfried Honig,"July, 2002"
3237-0.txt,The Garotters,William D. Howells,"September 24, 2014  "
3240.txt,Cap'n Eri,Joseph Crosby Lincoln,"May 30, 2006 "
3242.txt,The Doctor,Ralph Connor,"June 3, 2006 "
3252.txt,"The Complete PG Works of Oliver Wendell Holmes, Sr.","Oliver Wendell Holmes, Sr. (The Physician and Poet not the Jurist)","October 20, 2004 "
3253.txt,"The Papers And Writings Of Abraham Lincoln, Complete",Abraham Lincoln,"June, 2002  "
3254.txt,The Complete Project Gutenberg Works of Galsworthy,John Galsworthy,"September 27, 2004 "
3268.txt,The Mysteries of Udolpho,Ann Radcliffe,"June, 2002"
3284-8.txt,The Discovery of the Source of the Nile,John Hanning Speke,"June, 2002"
3284.txt,The Discovery of the Source of the Nile,John Hanning Speke,"June, 2002"
3285-8.txt,The Deerslayer,James Fenimore Cooper,"June, 2002"
3285.txt,The Deerslayer,James Fenimore Cooper,"June, 2002"
3294.txt,The Sea-Hawk,Raphael Sabatini,"June, 2002"
3295.txt,The Poems of Emma Lazarus,Emma Lazarus,"June, 2002"
3298-8.txt,Mr Honey's Banking Dictionary (German-English),Winfried Honig,"June, 2002"
3300-8.txt,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"April, 2002"
3308.txt,The Bontoc Igorot,Albert Ernest Jenks,"March 18, 2005 "
3319-8.txt,Letters to Dead Authors,Andrew Lang,"July, 2002"
3321.txt,Children of the Whirlwind,Leroy Scott,"April, 2002  "
3322.txt,East Lynne,Mrs. Henry Wood,"April 5, 2006 "
3323.txt,The Ward of King Canute,Ottilie A. Liljencrantz,"July, 2002"
3335.txt,Theodore Roosevelt,Theodore Roosevelt,"April 5, 2006 "
3337.txt,Hunting the Grisly and Other Sketches,Theodore Roosevelt,"April 6, 2006 "
3343.txt,"The Wandering Jew, Book V.",Eugene Sue,"October 25, 2004 "
3361.txt,The PG Edition of Chesterfield's Letters to His Son,The Earl of Chesterfield,"October 12, 2004 "
339.txt,Old Indian Days,"[AKA Ohiyesa], Charles A. Eastman","July 5, 2008 "
3409-8.txt,Barchester Towers,Anthony Trollope,"September, 2002  "
3479.txt,The Metal Monster,A. Merritt,"September, 2002  "
3484.txt,O'Flaherty V. C.,George Bernard Shaw,"October, 2002"
3490.txt,The Admirable Crichton,J. M. Barrie,"October, 2002"
3491.txt,Missy,Dana Gatlin,"October, 2002"
3525.txt,Music and Other Poems,Henry van Dyke," November, 2002  "
3527.txt,The Blue Moon,Laurence Housman,"November, 2002"
3530.txt,Love-at-Arms,Raphael Sabatini,2002
3533.txt,Sunshine Sketches of a Little Town,Stephen Leacock,"November, 2002"
3608-8.txt,The Ragged Trousered Philanthropists,Robert Tressell,"January, 2003"
3646.txt,"The Dwelling Place of Light, Volume 1",Winston Churchill,"October 15, 2004 "
3678.txt,Jonah,Louis Stone,"January, 2003"
3684.txt,"Mr. Crewe's Career, Complete",Winston Churchill,"October 6, 2006 "
3688-8.txt,The Chronicles of Clovis,Saki,"January, 2003"
3693.txt,Louisa Of Prussia and Her Times,Louise Muhlbach,"January, 2003  "
3727.txt,Maurice Guest,Henry Handel Richardson,"February, 2003"
3735-8.txt,The Inspector-General,Nicolay Gogol,"February, 2003  "
3754-8.txt,The Wonders of Instinct,J. H. Fabre,"February, 2003"
38.txt,"The Jargon File, Version 2.9.10, 01 Jul 1992",Various,"August, 1992"
3800.txt,The Ethics,Benedict de Spinoza,"February, 2003"
3823-8.txt,Thelma,Marie Corelli,"October 13, 2006 "
3860.txt,"The Memoirs of Louis XIV., Volume 1",Duc de Saint-Simon,"December 3, 2004 "
3862.txt,"The Memoirs of Louis XIV., Volume 3",Duc de Saint-Simon,"December 3, 2004 "
3865.txt,"The Memoirs of Louis XIV., Volume 6",Duc de Saint-Simon,"December 3, 2004 "
387-0.txt,Vailima Letters,Robert Louis Stevenson,"February 19, 2013  "
3871.txt,"The Memoirs of Louis XIV., Volume 12",Duc de Saint-Simon,"December 3, 2004 "
3874.txt,"The Memoirs of Louis XIV., Volume 15",Duc de Saint-Simon,"December 3, 2004 "
3875.txt,"The Memoirs of Louis XIV., His Court and The Regency, Complete",Duc de Saint-Simon,"September 29, 2006 "
3900.txt,The Project Gutenberg Historic Court Memoirs,Various,"October 27, 2004 "
3911.txt,"The Confessions of J. J. Rousseau, Book XI.",Jean Jacques Rousseau,"December 6, 2004 "
39689.txt,Satan Sanderson,Hallie Erminie Rives,"May 13, 2012  "
39698.txt,The Impostor,Harold Bindloss,"May 14, 2012  "
39705.txt,The Lady of the Forest,L. T. Meade,"May 15, 2012 "
39707.txt,Mr. Punch's Life in London,Various,"May 15, 2012 "
39711-8.txt,"Constitutional History of England, Vol 1 of 3",Henry Hallam,"May 16, 2012 "
39711.txt,"Constitutional History of England, Vol 1 of 3",Henry Hallam,"May 16, 2012 "
39712.txt,Goblin Tales of Lancashire,James Bowker,"May 16, 2012 "
39713-8.txt,"The Foundations of Science: Science and Hypothesis, The Value of Science, Science and Method",Henri Poincar�,"May 17, 2012 "
39728-8.txt,In Far Bolivia,Gordon Stables,"May 18, 2012 "
39729.txt,"Courage, True Hearts",Gordon Stables,"May 18, 2012 "
39733-8.txt,"Cooley's Cyclop�dia of Practical Receipts and Collateral Information in the Arts, Manufactures, Professions, and Trades..., Sixth Edition, Volume I",Arnold Cooley,"May 19, 2012 "
39751-8.txt,Being Well-Born,Michael F. Guyer,"May 21, 2012 "
39790-8.txt,An American Four-In-Hand in Britain,Andrew Carnegie,"May 25, 2012 "
39827-8.txt,The Conduct of Life,Ralph Waldo Emerson,"May 27, 2012 "
39846-8.txt,St. Nicholas Vol XIII. No. 8 June 1886,Various,"May 29, 2012 "
39854.txt,Bird-Lore March-April 1916,Various,"May 31, 2012 "
39857.txt,Marmaduke,Flora Annie Steel,"May 29, 2012 "
39860-8.txt,The Evolution of States,J. M. Robertson,"May 30, 2012 "
39862-8.txt,English Traits,Ralph Waldo Emerson,"May 30, 2012 "
39868.txt,Glinda of Oz,L. Frank Baum,"May 31, 2012 "
39881.txt,War's Brighter Side,Julian Ralph,"June 2, 2012 "
39883.txt,Alsace-Lorraine,Daniel Blumenthal,"June 2, 2012 "
39886-8.txt,"Modern Painting, Its Tendency and Meaning",Willard Huntington Wright,"June 1, 2012 "
39887-8.txt,"The Cambridge Natural History, Vol X., Mammalia",Frank Evers Beddard,"June 1, 2012 "
39887.txt,"The Cambridge Natural History, Vol X., Mammalia",Frank Evers Beddard,"June 1, 2012 "
39895.txt,The Church of St. Bunco,Gordon Clark,"June 2, 2012 "
39896.txt,The Girl Next Door,Augusta Huiell Seaman,"June 2, 2012 "
39897.txt,Discoveries among the Ruins of Nineveh and Babylon,Austen H. Layard,"June 2, 2012 "
39908.txt,"Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 6",Various,"June 3, 2012 "
39909.txt,"The Poems of Philip Freneau, Volume III (of III)",Philip Freneau,"June 3, 2012 "
39922.txt,Juggernaut,George Cary Eggleston,"June 5, 2012 "
39923-8.txt,The Lucky Seventh,Ralph Henry Barbour,"June 5, 2012 "
39934.txt,"Traditions, Superstitions and Folk-lore",Charles Hardwick,"June 6, 2012 "
39959-8.txt,"The Three Perils of Man, Vol. 3 (of 3)",James Hogg,"June 10, 2012 "
39962-8.txt,The Works of Sir Thomas Browne,Thomas Browne,"November 5, 2012 "
39964-8.txt,The Positive Outcome of Philosophy,Joseph Dietzgen,"June 10, 2012 "
39966-8.txt,Curiosities of Christian History,Croake James,"June 10, 2012 "
39979-8.txt,"Audubon and his Journals, Vol. 2",Maria R. Audubon,"June 13, 2012 "
39999-8.txt,The Great Acceptance,Cyril Arthur Edward Ranger Gull,"June 15, 2012 "
4000.txt,"The Project Gutenberg Edition of ""The French Immortals""",Various,"October 30, 2004 "
40004.txt,"The Legend of Ulenspiegel, Vol. II (of 2)",Charles de Coster,"June 15, 2012 "
40005.txt,North American Recent Soft-shelled Turtles (Family  Trionychidae),Robert G. Webb,"June 16, 2012 "
40009-8.txt,"Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 5",Various,"June 16, 2012 "
40010.txt,Summer Cruising in the South Seas,Charles Warren Stoddard,"June 16, 2012 "
40013.txt,The Master of Warlock,George Cary Eggleston,"June 17, 2012 "
40014-8.txt,John Burnet of Barns,John Buchan,"June 17, 2012 "
40016-8.txt,The Last Rose of Summer,Rupert Hughes,"June 17, 2012 "
40016.txt,The Last Rose of Summer,Rupert Hughes,"June 17, 2012 "
40029-8.txt,The Gunpowder Plot and Lord Mounteagle's Letter,Henry Hawkes Spink Jr.,"June 18, 2012 "
4003.txt,Androcles and the Lion,George Bernard Shaw,"May, 2003"
40032-8.txt,Mexico,Susan Hale,"June 18, 2012  "
40057-8.txt,The Life of Florence Nightingale vol. 1 of 2,Edward Tyas Cook,"July 16, 2012 "
40057.txt,The Life of Florence Nightingale vol. 1 of 2,Edward Tyas Cook,"July 16, 2012 "
40068-8.txt,"The Catholic World. Volume II; Numbers 7, 8, 9, 10, 11, 12.",E. Rameur,"June 24, 2012 "
40073.txt,A Lively Bit of the Front,Percy F. Westerman,"June 24, 2012 "
40074-0.txt,A Dictionary of Cebuano Visayan,John U. Wolff,"June 24, 2012 "
40075-8.txt,The Knight of Malta,Eugene Sue,"June 24, 2012 "
40077-8.txt,The Principles of Economics,Frank A. Fetter,"June 24, 2012 "
40089-8.txt,Reconstruction in Philosophy,John Dewey,"June 26, 2012 "
40097-8.txt,The World As Will And Idea (Vol. 2 of 3),Arthur Schopenhauer,"June 27, 2012 "
40099-0.txt,"Blackwood's Edinburgh Magazine, Volume 63, No. 392, June, 1848",Various,"June 28, 2012 "
40103-0.txt,Denry the Audacious,Arnold Bennett,"June 28, 2012 "
40108-8.txt,Tales of Secret Egypt,Sax Rohmer,"June 29, 2012 "
40109-8.txt,Taxidermy and Zoological Collecting,William T. Hornaday,"June 30, 2012 "
40110-8.txt,North American Jumping Mice (Genus Zapus),Philip H. Krutzsch,"June 30, 2012 "
40132-8.txt,A Report on Washington Territory,William Henry Ruffner,"July 3, 2012 "
40135-8.txt,The Makers of Modern Rome,Mrs. (Margaret) Oliphant,"July 3, 2012 "
40136-8.txt,The Mercy of the Lord,Flora Annie Steel,"July 3, 2012 "
40144-0.txt,"A history of art in ancient Egypt, Vol. I (of 2)",Georges Perrot,"July 5, 2012 "
40151-8.txt,Constance Sherwood,Lady Georgiana Fullerton,"July 7, 2012 "
40156-8.txt,"Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 3",Various,"July 7, 2012 "
40168-8.txt,The Old Adam,Arnold Bennett,"July 08, 2012 "
40171.txt,"Notes and Queries, Vol. V, Number 114, January 3, 1852",Various,"July 8, 2012 "
40173.txt,The Literature of the Old Testament,George Foot Moore,"July 8, 2012 "
40184-0.txt,"The Natural Cure of Consumption, Constipation, Bright's Disease, Neuralgia, Rheumatism,",Charles Edward Page,"July 9, 2012 "
40196-8.txt,The Oxford Book of American Essays,Various,"July 10, 2012 "
40204.txt,"Punch, or the London Charivari, Vol. 105 December 16, 1893",Various,"July 11, 2012 "
40206.txt,Bible Studies,Joseph M. Wheeler,"July 11, 2012 "
40208-8.txt,Life of Thomas Paine,Richard Carlile,"July 11, 2012 "
40210.txt,"Thomas Paine, The Apostle of Liberty",John E. Remsburg,"July 11, 2012 "
40211-8.txt,Church Reform,Richard Carlile,"July 11, 2012 "
40211.txt,Church Reform,Richard Carlile,"July 11, 2012 "
40212.txt,"A Letter To The Society for the Suppression of Vice, on their Malignant Efforts to Prevent a Free Enquiry After Truth and Reason",Richard Carlile,"July 11, 2012 "
40226-0.txt,The Fall of Prince Florestan of Monaco,Charles Wentworth Dilke,"July 14, 2012  "
40229.txt,"History of Randolph-Macon College, Virginia",Richard Irby,"July 14, 2012 "
40235-8.txt,The Expositor's Bible: The Books of Chronicles,William Henry Bennett,"July 21, 2012 "
40238.txt,A Thousand Miles in the Rob Roy Canoe on Rivers and Lakes of Europe,John Macgregor,"July 15, 2012 "
40254-8.txt,Bert Wilson's Twin Cylinder Racer,J. W. Duffield,"July 16, 2012  "
40292-8.txt,Paris Vistas,Helen Davenport Gibbons,"July 21, 2012 "
40315-8.txt,"The Contemporary Review, Volume 36, December 1879",Various,"July 25, 2012 "
40341-0.txt,King Alfred's Old English Version of St. Augustine's Soliloquies,Saint Augustine,"July 26, 2012  "
40359.txt,The Fairy Ring,Various,"July 28, 2012 "
40366.txt,Mary Ware in Texas,Annie F. Johnston,"July 29, 2012  "
40367.txt,The Decoration of Houses,Edith Wharton,"July 29, 2012 "
40370.txt,"Encyclopaedia Britannica, 11th Edition, Volume 14, Slice 2",Various,"July 29, 2012 "
40372.txt,The Secret of the Silver Car,Wyndham Martyn,"July 30, 2012 "
40381-0.txt,Vistas in Sicily,Arthur Stanley Riggs,"July 31, 2012 "
40387-0.txt,Studies of Christianity,James Martineau,"August 1, 2012 "
40389-8.txt,The Life of John Marshall (Volume 2 of 4),Albert J. Beveridge,"August 3, 2012 "
40390-8.txt,Cathedral Cities of France,Herbert Marshall,"August 1, 2012 "
40396-8.txt,Jack Harvey's Adventures,Ruel Perley Smith,"August 2, 2012 "
40398-0.txt,The Turn of the Balance,Brand Whitlock,"February 19, 2013 "
40398.txt,The Turn of the Balance,Brand Whitlock,"February 19, 2013 "
40400.txt,"History of the Origin, Formation, and Adoption of the Constitution of the United States, Vol. 1",George Ticknor Curtis,"August 3, 2012 "
40402.txt,Sagas from the Far East,Various,"August 3, 2012 "
40407-8.txt,"Mary Seaham, Volume 3 of 3",Elizabeth Caroline Grey,"August 4, 2012 "
40438-8.txt,"Plato and the Other Companions of Sokrates, 3rd ed. Volume IV (of 4)",George Grote,"August 7, 2012 "
40445-8.txt,The Life of John Marshall Volume 3 of 4,Albert J. Beveridge,"August 8, 2012 "
40448.txt,The Child's Book of the Seasons,Arthur Ransome,"August 8, 2012 "
40459-8.txt,Animal Intelligence,George J. Romanes,"August 9, 2012 "
40473-0.txt,"The History of Creation, Vol. II (of 2)",Ernst Haeckel,"August 14, 2012 "
4048.txt,The Talkative Wig,Eliza Lee Follen,"May, 2003"
40480-8.txt,The Quest of the Four,Joseph A. Altsheler,"August 11, 2012 "
40482-8.txt,The Meaning of Faith,Harry Emerson Fosdick,"August 11, 2012 "
40498-8.txt,Curiosities of Civilization,Andrew Wynter,"August 14, 2012 "
40499-8.txt,"Abridgment of the Debates of Congress, from 1789 to 1856, Vol. I (of 16)",Thomas Hart Benton,"August 18, 2012 "
40501-8.txt,The Blower of Bubbles,Arthur Beverley Baxter,"August 14, 2012 "
40505-8.txt,Scurvy Past and Present,Alfred Fabian Hess,"August 14, 2012 "
40518-8.txt,"The Bath Keepers, v.2 (Novels of Paul de Kock Volume VIII)",Charles Paul de Kock,"August 17, 2012 "
40521-8.txt,An Etymological Dictionary of the Scottish Language,John Jamieson,"August 18, 2012 "
40525-8.txt,Kathie's Soldiers,Amanda Minnie Douglas,"August 18, 2012  "
40548.txt,The Rival Campers,Ruel Perley Smith,"August 20, 2012 "
40549.txt,The Private Life of the Romans,Harold Whetstone Johnston,"August 20, 2012 "
40555-0.txt,No Man’s Island,Herbert Strang,"August 21, 2012 "
40566.txt,Moth and Rust,Mary Cholmondeley,"August 23, 2012 "
40572.txt,The Flying Bo'sun,Arthur Mason,"August 24, 2012  "
40575.txt,The Great Commission,C. H. (Charles Henry) Mackintosh,"August 24, 2012 "
40579-8.txt,"Memoir of Hendrick Zwaardecroon, commandeur of Jaffnapatam",Hendrick Zwaardecroon,"August 25, 2012 "
40584-8.txt,Lancashire,Leo H. (Leo Hartley) Grindon,"August 26, 2012  "
40588.txt,The Katha Sarit Sagara,Somadeva Bhatta,"August 26, 2012 "
4059.txt,Miscellaneous Studies: A Series of Essays,Walter Horatio Pater,"May, 2003"
40600-8.txt,Over the Border,Herman Whitaker,"August 27, 2012 "
40600.txt,Over the Border,Herman Whitaker,"August 27, 2012 "
40602-8.txt,The Freebooters,Gustave Aimard,"August 28, 2012 "
40603.txt,The Root of All Evil,J. S. Fletcher,"August 28, 2012 "
40606-8.txt,The Legal Position of the Clergy,P. V. Smith,"August 28, 2012 "
